Category,Country,% of respondents
The job market,Global,31%
My job,Global,37%
The job market,China,44%
My job,China,62%
The job market,Indonesia,45%
My job,Indonesia,59%
The job market,Thailand,51%
My job,Thailand,52%
The job market,Singapore,34%
My job,Singapore,39%
The job market,India,48%
My job,India,46%
The job market,Mexico,52%
My job,Mexico,51%
The job market,South Africa,43%
My job,South Africa,53%
The job market,Peru,47%
My job,Peru,57%
The job market,Malaysia,38%
My job,Malaysia,43%
The job market,Brazil,41%
My job,Brazil,46%
The job market,Colombia,44%
My job,Colombia,45%
The job market,Argentina,40%
My job,Argentina,40%
The job market,Turkey,47%
My job,Turkey,41%
The job market,South Korea,19%
My job,South Korea,23%
The job market,Poland,17%
My job,Poland,21%
The job market,Chile,32%
My job,Chile,39%
The job market,Switzerland,25%
My job,Switzerland,29%
The job market,Germany,22%
My job,Germany,27%
The job market,Ireland,25%
My job,Ireland,33%
The job market,France,27%
My job,France,33%
The job market,Great Britain,21%
My job,Great Britain,26%
The job market,Italy,29%
My job,Italy,32%
The job market,Hungary,25%
My job,Hungary,24%
The job market,New Zealand,19%
My job,New Zealand,33%
The job market,Australia,21%
My job,Australia,29%
The job market,Spain,23%
My job,Spain,28%
The job market,Japan,18%
My job,Japan,17%
The job market,Netherlands,21%
My job,Netherlands,27%
The job market,United States,21%
My job,United States,31%
The job market,Belgium,17%
My job,Belgium,26%
The job market,Sweden,18%
My job,Sweden,32%
The job market,Canada,18%
My job,Canada,24%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
