Year,Granted AI patents (% of world total),Label
2010,0.0002598077422707197,Sub-Saharan Africa
2011,0.00022021581149526536,Sub-Saharan Africa
2012,0.00038255547054322876,Sub-Saharan Africa
2013,0.00015810276679841898,Sub-Saharan Africa
2014,0.00014530659691950015,Sub-Saharan Africa
2015,0.0001261193088661874,Sub-Saharan Africa
2016,0.00019334880123743234,Sub-Saharan Africa
2017,,Sub-Saharan Africa
2018,5.713959202331295e-05,Sub-Saharan Africa
2019,7.327349331379373e-05,Sub-Saharan Africa
2020,,Sub-Saharan Africa
2021,1.501726986033939e-05,Sub-Saharan Africa
2022,0.00010509611039295435,Sub-Saharan Africa
2023,0.00016263997202592482,Sub-Saharan Africa
2010,0.0028578851649779164,Middle East and North Africa
2011,0.0017617264919621229,Middle East and North Africa
2012,0.002104055087987758,Middle East and North Africa
2013,0.0014229249011857706,Middle East and North Africa
2014,0.001017146178436501,Middle East and North Africa
2015,0.0007567158531971245,Middle East and North Africa
2016,0.002320185614849188,Middle East and North Africa
2017,0.0017581129587576003,Middle East and North Africa
2018,0.0008570938803496943,Middle East and North Africa
2019,0.001062465653050009,Middle East and North Africa
2020,0.00034277096044423114,Middle East and North Africa
2021,0.0005706562546928969,Middle East and North Africa
2022,0.00045191327468970373,Middle East and North Africa
2023,0.00021143196363370225,Middle East and North Africa
2010,0.0005196154845414394,Latin America and the Caribbean
2011,0.00022021581149526536,Latin America and the Caribbean
2012,0.00038255547054322876,Latin America and the Caribbean
2013,0.0004743083003952569,Latin America and the Caribbean
2014,0.0007265329845975008,Latin America and the Caribbean
2015,0.0006305965443309371,Latin America and the Caribbean
2016,0.000580046403712297,Latin America and the Caribbean
2017,0.0009523111859937001,Latin America and the Caribbean
2018,0.0014284898005828238,Latin America and the Caribbean
2019,0.0013189228796482873,Latin America and the Caribbean
2020,0.0006855419208884623,Latin America and the Caribbean
2021,0.0004505180958101817,Latin America and the Caribbean
2022,0.0004939517188468855,Latin America and the Caribbean
2023,0.0004228639272674045,Latin America and the Caribbean
2010,0.0018186541958950377,Rest of the world
2011,0.002202158114952654,Rest of the world
2012,0.0007651109410864575,Rest of the world
2013,0.0020553359683794467,Rest of the world
2014,0.001888985759953502,Rest of the world
2015,0.0017656703241266238,Rest of the world
2016,0.0019334880123743233,Rest of the world
2017,0.0022708959050619,Rest of the world
2018,0.0019427461287926404,Rest of the world
2019,0.0014654698662758747,Rest of the world
2020,0.001439638033865771,Rest of the world
2021,0.0015918306051959754,Rest of the world
2022,0.0014503263234227702,Rest of the world
2023,0.0015125517398411007,Rest of the world
2010,0.0012990387113535984,South Asia
2011,0.001101079057476327,South Asia
2012,0.0019127773527161439,South Asia
2013,0.0017391304347826088,South Asia
2014,0.004068584713746004,South Asia
2015,0.004035817883717997,South Asia
2016,0.004833720030935808,South Asia
2017,0.004395282396894001,South Asia
2018,0.005371121650191418,South Asia
2019,0.005678695731819014,South Asia
2020,0.005255821393478211,South Asia
2021,0.004880612704610302,South Asia
2022,0.004203844415718174,South Asia
2023,0.0037244553593936782,South Asia
2010,0.08573655494933749,Europe and Central Asia
2011,0.07905747632680027,Europe and Central Asia
2012,0.07804131599081866,Europe and Central Asia
2013,0.059130434782608696,Europe and Central Asia
2014,0.06364428945074106,Europe and Central Asia
2015,0.0641947282128894,Europe and Central Asia
2016,0.06254833720030936,Europe and Central Asia
2017,0.0660024906600249,Europe and Central Asia
2018,0.06091080509685161,Europe and Central Asia
2019,0.05356292361238322,Europe and Central Asia
2020,0.04081259569022646,Europe and Central Asia
2021,0.035260549632076886,Europe and Central Asia
2022,0.029595064686655948,Europe and Central Asia
2023,0.027738247229021476,Europe and Central Asia
2010,0.40218238503507403,North America
2011,0.3272406958819643,North America
2012,0.3473603672532517,North America
2013,0.3848221343873518,North America
2014,0.4240046498111014,North America
2015,0.43094967839576237,North America
2016,0.39501160092807425,North America
2017,0.34737381876785584,North America
2018,0.2889549168618936,North America
2019,0.3135372778897234,North America
2020,0.2668357670071525,North America
2021,0.21061720979125995,North America
2022,0.17537387941272292,North America
2023,0.14226931552967773,North America
2010,0.5053260587165498,East Asia and Pacific
2011,0.5881964325038538,East Asia and Pacific
2012,0.5690512624330528,East Asia and Pacific
2013,0.5501976284584981,East Asia and Pacific
2014,0.5045045045045045,East Asia and Pacific
2015,0.49754067347710934,East Asia and Pacific
2016,0.5325792730085074,East Asia and Pacific
2017,0.577247088125412,East Asia and Pacific
2018,0.6404776869893148,East Asia and Pacific
2019,0.6233009708737864,East Asia and Pacific
2020,0.6846278649939443,East Asia and Pacific
2021,0.7466136056464935,East Asia and Pacific
2022,0.7883259240575506,East Asia and Pacific
2023,0.823958494279139,East Asia and Pacific
